,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
149,963,621f79e243b89009366c8c00,2021-08-26T22:00:00.000Z,natesuits#4789,iviangita#3204,for the work they’re doing promoting the organizational identity,21,34,8,innov8tor3#3988,Parrachia#0450,calazki#3961,21,26
150,488,621f79e243b89009366c89db,2021-08-16T22:00:00.000Z,shawn#7046,iviangita#3204,for answering my questions about DAOrayaki which will help us better understand how we can coordinate the translation work 🙂,13,13,34,osycross(🦎🦎)#5943,Parrachia#0450,Usua◎ Silver#2618,20,21
152,52,621f79e143b89009366c8781,2021-08-03T22:00:00.000Z,liviade#1387,anna-marie#8824,"for how comfortable holding up and exploring certain aspects of the TEC's systems and dynamics might affect all of us, and the amount of reflection she'd already given to how to make key changes going fowards",34,13,13,Sha#6179,tigeroid#2951,Mettodo#7010,20,21
157,536,621f79e243b89009366c8a0b,2021-08-18T22:00:00.000Z,Juankbell#7458,liviade#1387,"for organizing all the Graviton session with suggested content and date, providing reading materials, for allowing everyone to participate, for inviting more people to this training and diversifying the approaches, for always thinking about what is best for everyone and being very mindful of integrating constructive feedback!",13,21,34,eduardovegap#0422,Mount Manu#3530,kristofer#1475,22,21
159,564,621f79e243b89009366c8a27,2021-08-19T22:00:00.000Z,ddan#2489,iviangita#3204,for helping with study plan of Gravity and offering to be facilitators of 2nd Graviton training,13,34,13,teaci#6108,Zeptimus#3359,divine_comedian#5493,20,21
165,725,621f79e243b89009366c8ad9,2021-08-22T22:00:00.000Z,natesuits#4789,liviade#1387,for working on the snapshot set up!,34,21,13,innov8tor3#3988,Parrachia#0450,calazki#3961,22,21
171,579,621f79e243b89009366c8a36,2021-08-19T22:00:00.000Z,divine_comedian#5493,iviangita#3204,"for all the work on the CCD, the designs, comments, user testing and making things understandable for people",21,34,13,PhilH#1102,acidlazzer#5796,calazki#3961,22,21
173,89,621f79e143b89009366c87aa,2021-08-04T22:00:00.000Z,MehighCB#4516,Mount Manu#3530,for devoting 20 minutes to going through our Commons configuration dashboard AND Python Model and providing valuable feedback on how to make it better!,13,13,34,osycross(🦎🦎)#5943,acidlazzer#5796,Usua◎ Silver#2618,20,21
174,24,621f79e143b89009366c8765,2021-08-02T22:00:00.000Z,geleeroyale#3228,"griff (💜, 💜)#8888",for helping to make the NFTs happen for the hatch,13,34,13,teaci#6108,Mount Manu#3530,Usua◎ Silver#2618,20,21
182,833,621f79e243b89009366c8b7e,2021-08-26T22:00:00.000Z,VitorNunes#0090,iviangita#3204,for leading the Commons Config dashboard and holding down the backend,34,21,13,teaci#6108,Vyvy-vi#5040,kristofer#1475,22,21
184,512,621f79e243b89009366c89f3,2021-08-17T22:00:00.000Z,Mount Manu#3530,Zeptimus#3359,for working on a fun work sesh doing the first draft on Discord Roles document https://docs.google.com/document/d/1el7GdOZwqTTTYb3Es-tzR6e9uNb_KRTe1t7MGQ9JTPY/edit#⚡,13,34,13,PhilH#1102,Parrachia#0450,divine_comedian#5493,20,21
185,140,621f79e143b89009366c87dd,2021-08-05T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for working a lot so that things went well in Paris,13,34,21,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,22,21
194,490,621f79e243b89009366c89dd,2021-08-16T22:00:00.000Z,VitorNunes#0090,"griff (💜, 💜)#8888",for diving into the 4-hour hack sesh on sunday! So much progress made!,13,34,21,teaci#6108,Vyvy-vi#5040,kristofer#1475,22,21
201,341,621f79e243b89009366c8931,2021-08-12T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for all their work in making the Hatch happen,13,34,13,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,20,21
204,530,621f79e243b89009366c8a05,2021-08-18T22:00:00.000Z,akrtws (TE Academy)#4246,ygg_anderson#4998,for helping coordinate Tokenspice development and ecosystem development throughout the academy and public goods space!,13,21,34,eduardovegap#0422,Mount Manu#3530,Usua◎ Silver#2618,22,21
214,879,621f79e243b89009366c8bac,2021-08-26T22:00:00.000Z,akrtws (TE Academy)#4246,iviangita#3204,for being so forceful in TE and carrying token engineering forward,1,13,21,eduardovegap#0422,Mount Manu#3530,Usua◎ Silver#2618,11,20
215,556,621f79e243b89009366c8a1f,2021-08-19T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for all the work they’ve done on the forum,1,8,21,PhilH#1102,acidlazzer#5796,calazki#3961,10,20
216,321,621f79e243b89009366c891d,2021-08-12T22:00:00.000Z,acidlazzer#5796,iviangita#3204,for all the design work for Twitter,21,1,8,AmwFund#0979,Tam2140#9361,divine_comedian#5493,10,20
217,323,621f79e243b89009366c891f,2021-08-12T22:00:00.000Z,acidlazzer#5796,iviangita#3204,for creating the graphic for Hatchers Outreach,13,1,21,AmwFund#0979,Tam2140#9361,divine_comedian#5493,11,20
218,754,621f79e243b89009366c8b24,2021-08-23T22:00:00.000Z,Kris#8703,chuygarcia.eth#6692,"for attending the Comms WG, it's beautiful to be back <:TEC:835016327542210560> 🙂",1,1,21,teaci#6108,Tam2140#9361,Usua◎ Silver#2618,7,20
219,948,621f79e243b89009366c8bf1,2021-08-26T22:00:00.000Z,David (please DYOR...)#4116,iviangita#3204,for being around all the time,21,13,1,teaci#6108,Zeptimus#3359,kristofer#1475,11,20
220,750,621f79e243b89009366c8b20,2021-08-23T22:00:00.000Z,karmaticacid#1218,chuygarcia.eth#6692,"for attending the Comms WG, it's beautiful to be back <:TEC:835016327542210560> 🙂",21,5,1,innov8tor3#3988,acidlazzer#5796,bends#3537,9,20
221,737,621f79e243b89009366c8b12,2021-08-23T22:00:00.000Z,iviangita#3204,Mount Manu#3530,for doing user testing for our CCD 😃 🥲,21,13,1,innov8tor3#3988,Zeptimus#3359,enti#1546,11,20
222,131,621f79e143b89009366c87d4,2021-08-05T22:00:00.000Z,Tam2140#9361,iviangita#3204,for meeting Eduardo in person,1,1,21,osycross(🦎🦎)#5943,Tam2140#9361,bends#3537,7,20
223,1074,621f79e243b89009366c8c80,2021-08-26T22:00:00.000Z,ZER8🧠#9093,David (please DYOR...)#4116,for attending the COMMS Strategy Hack today!   Cohesion.  Clarity.  Comittment.  Thanks everyone!,1,8,21,eduardovegap#0422,Mount Manu#3530,bends#3537,10,20
224,187,621f79e143b89009366c880c,2021-08-05T22:00:00.000Z,Juankbell#7458,Mount Manu#3530,for helping Santi get into ETHCC 😈,1,21,5,eduardovegap#0422,Mount Manu#3530,kristofer#1475,9,20
225,73,621f79e143b89009366c879a,2021-08-04T22:00:00.000Z,divine_comedian#5493,chuygarcia.eth#6692,"for his special participation in the ethcc aftermovie 😍 
https://www.youtube.com/watch?v=jbevpH2Pcxs",1,21,13,PhilH#1102,acidlazzer#5796,calazki#3961,11,20
226,126,621f79e143b89009366c87cf,2021-08-05T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for meeting Eduardo in person,1,13,21,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,11,20
227,47,621f79e143b89009366c877c,2021-08-03T22:00:00.000Z,chuygarcia.eth#6692,liviade#1387,for joining soft gov yesterday and sharing very important insights!,1,1,21,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,7,20
228,1075,621f79e243b89009366c8c81,2021-08-26T22:00:00.000Z,ALOYSIOUS#3049,David (please DYOR...)#4116,for attending the COMMS Strategy Hack today!   Cohesion.  Clarity.  Comittment.  Thanks everyone!,1,3,21,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,8,20
229,6,621f79e143b89009366c8753,2021-08-01T22:00:00.000Z,iviangita#3204,Zeptimus#3359,for joining the transparency call and participate with great feedback!!⚡,21,1,3,innov8tor3#3988,Zeptimus#3359,enti#1546,8,20
230,1106,621f79e243b89009366c8ca2,2021-08-30T22:00:00.000Z,ALOYSIOUS#3049,Jolie_Ze#0295,for introducing people to the commons and taking the time to show folks around and orient them,5,1,21,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,9,20
231,1086,621f79e243b89009366c8c8c,2021-08-26T22:00:00.000Z,iviangita#3204,David (please DYOR...)#4116,for being some of the most supportive people I know!,13,21,1,innov8tor3#3988,Zeptimus#3359,enti#1546,11,20
232,1107,621f79e243b89009366c8ca3,2021-08-30T22:00:00.000Z,ALOYSIOUS#3049,Jolie_Ze#0295,for speaking truth to power in the sourcecred forum with grace and precision,5,1,21,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,9,20
233,128,621f79e143b89009366c87d1,2021-08-05T22:00:00.000Z,santigs#9769,iviangita#3204,for meeting Eduardo in person,21,5,1,innov8tor3#3988,acidlazzer#5796,enti#1546,9,20
234,864,621f79e243b89009366c8b9d,2021-08-26T22:00:00.000Z,VitorNunes#0090,iviangita#3204,for being our developer ninjas,21,21,3,teaci#6108,Vyvy-vi#5040,kristofer#1475,15,18
235,670,621f79e243b89009366c8a91,2021-08-19T22:00:00.000Z,Tam2140#9361,Mount Manu#3530,for all her work in Sprint Planning and Sprint Retrospective 🏃🏻,13,3,21,osycross(🦎🦎)#5943,Tam2140#9361,bends#3537,12,18
236,798,621f79e243b89009366c8b50,2021-08-24T22:00:00.000Z,"griff (💜, 💜)#8888","griff (💜, 💜)#8888",for coming to the Params hack sesh on sunday!,5,3,21,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,9,18
237,190,621f79e143b89009366c880f,2021-08-05T22:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for his amazing leadership 🧙🏻‍♂️,21,13,3,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,12,18
238,1115,621f79e243b89009366c8cab,2021-08-30T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for reviewing and editing the Params tweet series 🙏🏼,3,21,13,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,12,18
239,573,621f79e243b89009366c8a30,2021-08-19T22:00:00.000Z,Kris#8703,iviangita#3204,for turning Tam onto Darkforce,8,3,21,teaci#6108,Tam2140#9361,Usua◎ Silver#2618,10,18
240,469,621f79e243b89009366c89c5,2021-08-13T22:00:00.000Z,karmaticacid#1218,iviangita#3204,for the latest super fun Hatch memes,21,3,5,innov8tor3#3988,acidlazzer#5796,bends#3537,9,18
241,656,621f79e243b89009366c8a83,2021-08-19T22:00:00.000Z,Zeptimus#3359,Mount Manu#3530,"for being in all the meetings (which is amazing, really) 🦸🏻",21,13,3,AmwFund#0979,Mount Manu#3530,calazki#3961,12,18
242,104,621f79e143b89009366c87b9,2021-08-05T22:00:00.000Z,santigs#9769,iviangita#3204,for coming to the Hatch Party and helping get extra people putting tokens into TEC,21,8,3,innov8tor3#3988,acidlazzer#5796,enti#1546,10,18
243,653,621f79e243b89009366c8a80,2021-08-19T22:00:00.000Z,Nuggan#5183,Mount Manu#3530,for the POAP distribution magic they conjured 🪄,21,3,5,Sha#6179,Tam2140#9361,bends#3537,9,18
244,510,621f79e243b89009366c89f1,2021-08-17T22:00:00.000Z,iviangita#3204,Zeptimus#3359,for working on a fun work sesh doing the first draft on Discord Roles document https://docs.google.com/document/d/1el7GdOZwqTTTYb3Es-tzR6e9uNb_KRTe1t7MGQ9JTPY/edit#⚡,21,21,3,innov8tor3#3988,Zeptimus#3359,enti#1546,15,18
245,122,621f79e143b89009366c87cb,2021-08-05T22:00:00.000Z,liviade#1387,iviangita#3204,for helping with the hatchers outreach,21,8,3,Sha#6179,tigeroid#2951,Mettodo#7010,10,18
246,1129,621f79e243b89009366c8cb9,2021-08-30T22:00:00.000Z,iviangita#3204,chuygarcia.eth#6692,for attending our Comms WG and enriching our proposal for the commsdao,21,3,3,innov8tor3#3988,Zeptimus#3359,enti#1546,9,18
247,273,621f79e243b89009366c88eb,2021-08-11T22:00:00.000Z,ALOYSIOUS#3049,anna-marie#8824,for getting their TS application in super quickly so that they could be a part of the hatch,3,3,21,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,9,18
248,599,621f79e243b89009366c8a4a,2021-08-19T22:00:00.000Z,Kris#8703,Mount Manu#3530,for sharing awesome tools that might be helpful for Transparency! 🛠️,13,3,21,teaci#6108,Tam2140#9361,Usua◎ Silver#2618,12,18
249,115,621f79e143b89009366c87c4,2021-08-05T22:00:00.000Z,Tam2140#9361,iviangita#3204,for all the coordination in the groundwork in Paris and everybody was taken care of,8,3,21,osycross(🦎🦎)#5943,Tam2140#9361,bends#3537,10,18
250,817,621f79e243b89009366c8b6d,2021-08-25T22:00:00.000Z,iviangita#3204,chuygarcia.eth#6692,for helping me fix my SWAGTEC situation as well 🙂,21,13,3,innov8tor3#3988,Zeptimus#3359,enti#1546,12,18
251,489,621f79e243b89009366c89dc,2021-08-16T22:00:00.000Z,Vyvy-vi#5040,liviade#1387,"for the new member role tag on Discord. It's so useful and simple, I can't stop appreciating it!",21,3,5,Sha#6179,Tam2140#9361,Mettodo#7010,9,18
252,593,621f79e243b89009366c8a44,2021-08-19T22:00:00.000Z,mateodaza#3156,iviangita#3204,for being always in the loop of everything even he can’t be with us because he isn’t feeling well,8,3,21,PhilH#1102,Tam2140#9361,Usua◎ Silver#2618,10,18
253,22,621f79e143b89009366c8763,2021-08-02T22:00:00.000Z,fabiomendes#4802,"griff (💜, 💜)#8888",for helping to make the NFTs happen for the hatch,13,3,21,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,12,18
254,523,621f79e243b89009366c89fe,2021-08-18T22:00:00.000Z,markop#2007,divine_comedian#5493,for his tireless and amazing design work EVEN while on vacation.,3,21,13,AmwFund#0979,Parrachia#0450,Usua◎ Silver#2618,12,18
255,1085,621f79e243b89009366c8c8b,2021-08-26T22:00:00.000Z,chuygarcia.eth#6692,David (please DYOR...)#4116,for being some of the most supportive people I know!,3,8,21,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,10,18
256,172,621f79e143b89009366c87fd,2021-08-05T22:00:00.000Z,iviangita#3204,Mount Manu#3530,for having a work session with Zeptimus around auditing credentials,21,21,3,innov8tor3#3988,Zeptimus#3359,enti#1546,15,18
257,339,621f79e243b89009366c892f,2021-08-12T22:00:00.000Z,Juankbell#7458,iviangita#3204,for all their work in making the Hatch happen,21,5,3,eduardovegap#0422,Mount Manu#3530,kristofer#1475,9,18
258,855,621f79e243b89009366c8b94,2021-08-26T22:00:00.000Z,ALOYSIOUS#3049,iviangita#3204,for gathering for kick-off meeting for the TEC agreements,3,3,21,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,9,18
259,559,621f79e243b89009366c8a22,2021-08-19T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for his leadership,8,21,3,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,10,18
260,906,621f79e243b89009366c8bc7,2021-08-26T22:00:00.000Z,natesuits#4789,iviangita#3204,for being always present and available even he’s busy,5,21,3,innov8tor3#3988,Parrachia#0450,calazki#3961,9,18
261,964,621f79e243b89009366c8c01,2021-08-26T22:00:00.000Z,anna-marie#8824,iviangita#3204,for the work they’re doing promoting the organizational identity,13,21,3,AmwFund#0979,Vyvy-vi#5040,Mettodo#7010,12,18
262,524,621f79e243b89009366c89ff,2021-08-18T22:00:00.000Z,VitorNunes#0090,divine_comedian#5493,for their hard work on the CCD deployment,13,21,3,teaci#6108,Vyvy-vi#5040,kristofer#1475,12,18
263,812,621f79e243b89009366c8b68,2021-08-25T22:00:00.000Z,iviangita#3204,freshelle#9882,for raising my TEC swag shop issue and helping me fix it! 🙌,21,8,3,innov8tor3#3988,Zeptimus#3359,enti#1546,10,18
264,71,621f79e143b89009366c8798,2021-08-04T22:00:00.000Z,acidlazzer#5796,Juankbell#7458,for taking on designing the Graviton training invitation and the conflict management cycle infographics,21,3,13,AmwFund#0979,Tam2140#9361,divine_comedian#5493,12,18
265,976,621f79e243b89009366c8c0d,2021-08-26T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for setting up the foundation for Hubspot,3,13,21,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,12,18
266,793,621f79e243b89009366c8b4b,2021-08-23T22:00:00.000Z,anna-marie#8824,liviade#1387,for inviting new contributors to collaborate with her in the TEC agreements! awesome community weaving!!,21,3,3,AmwFund#0979,Vyvy-vi#5040,Mettodo#7010,9,18
267,687,621f79e243b89009366c8aa2,2021-08-19T22:00:00.000Z,iviangita#3204,ZER8🧠#9093,for guiding me through Zenhub and also explaining a lot of TEC info .,21,13,3,innov8tor3#3988,Zeptimus#3359,enti#1546,12,18
268,685,621f79e243b89009366c8aa0,2021-08-19T22:00:00.000Z,liviade#1387,Zeptimus#3359,for trying so hard to get engagement on the dashboard going beyond and offering money and for questioning those methods and see how can that affect in the future. Both of you nice job!,13,21,3,Sha#6179,tigeroid#2951,Mettodo#7010,12,18
269,399,621f79e243b89009366c896b,2021-08-12T22:00:00.000Z,liviade#1387,iviangita#3204,for all the soft governance work she does,21,8,3,Sha#6179,tigeroid#2951,Mettodo#7010,10,18
270,174,621f79e143b89009366c87ff,2021-08-05T22:00:00.000Z,natesuits#4789,Mount Manu#3530,for facilitating GitBook and Medium access to all the people,21,13,5,innov8tor3#3988,Parrachia#0450,calazki#3961,13,16
271,548,621f79e243b89009366c8a17,2021-08-18T22:00:00.000Z,Jolie_Ze#0295,liviade#1387,for fixing the SourceCred verification bot in their server so I could jump in and start looking into the amazing things happening in the SC world :)),21,21,5,PhilH#1102,Mount Manu#3530,kristofer#1475,15,16
272,832,621f79e243b89009366c8b7d,2021-08-26T22:00:00.000Z,Tam2140#9361,iviangita#3204,for taking on the One-Time Change of TECH Address and Initial Buy into the Bonding Curve proposals and really diving into Hatch governance,21,5,5,osycross(🦎🦎)#5943,Tam2140#9361,bends#3537,10,16
273,736,621f79e243b89009366c8b10,2021-08-22T22:00:00.000Z,Fortunov | Aragon#6678,Mount Manu#3530,for tunov | Aragon for doing user testing for our CCD!,13,5,21,osycross(🦎🦎)#5943,acidlazzer#5796,bends#3537,13,16
274,183,621f79e143b89009366c8808,2021-08-05T22:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for slaying with the forum posts ✍🏻,13,21,5,PhilH#1102,Parrachia#0450,divine_comedian#5493,13,16
275,841,621f79e243b89009366c8b86,2021-08-26T22:00:00.000Z,sem  🐝#0161,iviangita#3204,for the work on EVM-crispr,13,21,5,PhilH#1102,Mount Manu#3530,calazki#3961,13,16
276,1095,621f79e243b89009366c8c95,2021-08-29T22:00:00.000Z,JeffEmmett#7202,akrtws (TE Academy)#4246,for representing TE Commons at the CryptoCommonsGathering 2021 https://www.crypto-commons.org/ccg-21,21,13,5,Sha#6179,acidlazzer#5796,kristofer#1475,13,16
277,1057,621f79e243b89009366c8c6e,2021-08-26T22:00:00.000Z,anna-marie#8824,Zeptimus#3359,for leading the TEC agreements this is very important for us!! thanks for taking that on🙏,21,5,5,AmwFund#0979,Vyvy-vi#5040,Mettodo#7010,10,16
278,186,621f79e143b89009366c880b,2021-08-05T22:00:00.000Z,karmaticacid#1218,Mount Manu#3530,for slaying with the forum posts ✍🏻,21,5,8,innov8tor3#3988,acidlazzer#5796,bends#3537,11,16
279,106,621f79e143b89009366c87bb,2021-08-05T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for coming to the Hatch Party and helping get extra people putting tokens into TEC,8,5,21,PhilH#1102,Parrachia#0450,divine_comedian#5493,11,16
280,82,621f79e143b89009366c87a3,2021-08-04T22:00:00.000Z,karmaticacid#1218,Nuggan#5183,for reviewing my code and @Mount Manu for the user feedback and proactively searching for collaboration possibilities,21,8,5,innov8tor3#3988,acidlazzer#5796,bends#3537,11,16
281,810,621f79e243b89009366c8b66,2021-08-25T22:00:00.000Z,acidlazzer#5796,Juankbell#7458,for this POAP collection you won't want to miss!!! The second Graviton training has its own swag going on!,21,5,21,AmwFund#0979,Tam2140#9361,divine_comedian#5493,15,16
282,247,621f79e143b89009366c8872,2021-08-07T22:00:00.000Z,Lisa JY Tan#3350,"griff (💜, 💜)#8888","for having me on her show to talk about Public Goods, the TEC and CollabEcon",5,8,21,teaci#6108,acidlazzer#5796,bends#3537,11,16
283,475,621f79e243b89009366c89cd,2021-08-15T22:00:00.000Z,Mount Manu#3530,iviangita#3204,for reviewing the forum post for credentials management process,5,13,21,PhilH#1102,Parrachia#0450,divine_comedian#5493,13,16
284,918,621f79e243b89009366c8bd3,2021-08-26T22:00:00.000Z,Tam2140#9361,iviangita#3204,for keeping a bird’s eye view and taking care of everyone,5,5,21,osycross(🦎🦎)#5943,Tam2140#9361,bends#3537,10,16
285,4,621f79e143b89009366c8751,2021-08-01T22:00:00.000Z,divine_comedian#5493,"griff (💜, 💜)#8888",for the awesome work on the film prototypes... omg it's going to be so cool to educate the TE Commons community and many communities to come!!,21,5,21,PhilH#1102,acidlazzer#5796,calazki#3961,15,16
286,136,621f79e143b89009366c87d9,2021-08-05T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for doing extra work to organize Comms so he can take time off,5,21,21,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,15,16
287,727,621f79e243b89009366c8adb,2021-08-22T22:00:00.000Z,liviade#1387,liviade#1387,for working on the snapshot set up!,21,8,5,Sha#6179,tigeroid#2951,Mettodo#7010,11,16
288,756,621f79e243b89009366c8b26,2021-08-23T22:00:00.000Z,mateodaza#3156,liviade#1387,for being excited and proactive to collaborate on TEC sourcecred improvements!,5,5,21,PhilH#1102,Tam2140#9361,Usua◎ Silver#2618,10,16
289,787,621f79e243b89009366c8b45,2021-08-23T22:00:00.000Z,ygg_anderson#4998,liviade#1387,for accepting to work with the reward system proposal in the labs 🥲  we couldn't do it without you!,13,5,21,Sha#6179,acidlazzer#5796,Usua◎ Silver#2618,13,16
290,634,621f79e243b89009366c8a6d,2021-08-19T22:00:00.000Z,karmaticacid#1218,Mount Manu#3530,for all their work in Parameters,21,5,8,innov8tor3#3988,acidlazzer#5796,bends#3537,11,16
291,23,621f79e143b89009366c8764,2021-08-02T22:00:00.000Z,Kris#8703,"griff (💜, 💜)#8888",for helping to make the NFTs happen for the hatch,8,5,21,teaci#6108,Tam2140#9361,Usua◎ Silver#2618,11,16
292,461,621f79e243b89009366c89bc,2021-08-12T22:00:00.000Z,liviade#1387,Caeser (PST)#0046,for drafting the covenant document.,21,13,5,Sha#6179,tigeroid#2951,Mettodo#7010,13,16
293,540,621f79e243b89009366c8a0f,2021-08-18T22:00:00.000Z,Loie#2921,Juankbell#7458,for helping to make possible the second Graviton training! thank you for all your support and guidance,21,21,5,Sha#6179,acidlazzer#5796,Mettodo#7010,15,16
294,335,621f79e243b89009366c892b,2021-08-12T22:00:00.000Z,natesuits#4789,iviangita#3204,for all their work in making the Hatch happen,21,21,5,innov8tor3#3988,Parrachia#0450,calazki#3961,15,16
295,637,621f79e243b89009366c8a70,2021-08-19T22:00:00.000Z,fabiomendes#4802,Mount Manu#3530,for all their work in Parameters,21,5,13,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,13,16
296,640,621f79e243b89009366c8a73,2021-08-19T22:00:00.000Z,natesuits#4789,Mount Manu#3530,for helping out with orientation 👨🏻‍🏫,5,21,21,innov8tor3#3988,Parrachia#0450,calazki#3961,15,16
297,878,621f79e243b89009366c8bab,2021-08-26T22:00:00.000Z,freshelle#9882,iviangita#3204,for all the work she’s been doing,13,21,8,Sha#6179,Vyvy-vi#5040,Usua◎ Silver#2618,14,13
306,535,621f79e243b89009366c8a0a,2021-08-18T22:00:00.000Z,akrtws (TE Academy)#4246,liviade#1387,for her awesome presentation of the Governauts!,21,34,21,eduardovegap#0422,Mount Manu#3530,Usua◎ Silver#2618,25,13
317,105,621f79e143b89009366c87ba,2021-08-05T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for coming to the Hatch Party and helping get extra people putting tokens into TEC,8,13,21,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,14,13
319,474,621f79e243b89009366c89ca,2021-08-13T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for Twitter support during the Hatch period 🙏🏼,13,21,8,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,14,13
320,383,621f79e243b89009366c895b,2021-08-12T22:00:00.000Z,natesuits#4789,iviangita#3204,for their work in Hatchers Outreach,8,8,21,innov8tor3#3988,Parrachia#0450,calazki#3961,12,13
322,1077,621f79e243b89009366c8c83,2021-08-26T22:00:00.000Z,David (please DYOR...)#4116,"griff (💜, 💜)#8888",for the fantastic twitter work... seeing so much activity there!,21,8,21,teaci#6108,Zeptimus#3359,kristofer#1475,16,13
323,460,621f79e243b89009366c89bb,2021-08-12T22:00:00.000Z,Caeser (PST)#0046,liviade#1387,for editing the covenant document!!,13,21,8,PhilH#1102,Mount Manu#3530,kristofer#1475,14,13
324,514,621f79e243b89009366c89f5,2021-08-17T22:00:00.000Z,ZER8🧠#9093,David (please DYOR...)#4116,for rocking the TEC roles document!,8,13,21,eduardovegap#0422,Mount Manu#3530,bends#3537,14,13
327,521,621f79e243b89009366c89fc,2021-08-18T22:00:00.000Z,natesuits#4789,divine_comedian#5493,for being a responsive content editor,34,21,34,innov8tor3#3988,Parrachia#0450,calazki#3961,29,13
332,377,621f79e243b89009366c8955,2021-08-12T22:00:00.000Z,eduardovegap#0422,iviangita#3204,for the important work they do in onboarding,8,21,13,PhilH#1102,Parrachia#0450,kristofer#1475,14,13
335,74,621f79e143b89009366c879b,2021-08-04T22:00:00.000Z,Caeser (PST)#0046,Juankbell#7458,for writing this article about precedents that can help to promote trademarks rights in DAOs.  https://medium.com/@westrick/darts-daos-and-defending-trademarks-24f97ba32c76,21,13,8,PhilH#1102,Mount Manu#3530,kristofer#1475,14,13
340,633,621f79e243b89009366c8a6c,2021-08-19T22:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for all their work in Parameters,13,21,8,PhilH#1102,Parrachia#0450,divine_comedian#5493,14,13
341,332,621f79e243b89009366c8928,2021-08-12T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for all their work in making the Hatch happen,8,21,21,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,16,13
343,970,621f79e243b89009366c8c07,2021-08-26T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for helping with What’s Next blog post,8,8,21,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,12,13
344,269,621f79e243b89009366c88e7,2021-08-11T22:00:00.000Z,Juankbell#7458,anna-marie#8824,"for facilitating the next graviton training with such care and attention, and extending the training so that it includes org design and pathways for contribution",8,13,21,eduardovegap#0422,Mount Manu#3530,kristofer#1475,14,13
350,258,621f79e243b89009366c88dc,2021-08-11T22:00:00.000Z,"griff (💜, 💜)#8888",divine_comedian#5493,for their work on the Commons Config Dashboard,8,21,21,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,16,13
351,26,621f79e143b89009366c8767,2021-08-02T22:00:00.000Z,sem  🐝#0161,"griff (💜, 💜)#8888",for being so responsive on maintaining the xDai RPCs,13,8,21,PhilH#1102,Mount Manu#3530,calazki#3961,14,13
353,25,621f79e143b89009366c8766,2021-08-02T22:00:00.000Z,Zeptimus#3359,"griff (💜, 💜)#8888",for testing the hatch in an emergency spot,21,21,34,AmwFund#0979,Mount Manu#3530,calazki#3961,25,13
354,795,621f79e243b89009366c8b4d,2021-08-24T22:00:00.000Z,pKrepe#5682,"griff (💜, 💜)#8888",for coming to the Params hack sesh on sunday!,13,21,8,Sha#6179,acidlazzer#5796,bends#3537,14,13
357,14,621f79e143b89009366c875b,2021-08-01T22:00:00.000Z,OddName#8763,"griff (💜, 💜)#8888",for writing about the TEC in a french book! Wow!,8,21,13,eduardovegap#0422,Mount Manu#3530,kristofer#1475,14,13
